SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
82080.0,8.0,2.0,1.0,2.0,,3.0,3.0,2.0,34.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,1.0,1.0,1.0,1.0,45.0,1.0,3.0,1.0,3.0,15017.337515,17064.782925,2.0,108.0,6.0,6.0,0.88
82083.0,8.0,2.0,2.0,57.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,57.0,1.0,5.0,1.0,3.0,139870.360101,142774.787224,1.0,105.0,15.0,15.0,5.0
82084.0,8.0,2.0,1.0,1.0,13.0,3.0,3.0,1.0,13.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,30.0,1.0,5.0,2.0,,32959.083863,32885.898406,2.0,112.0,10.0,10.0,3.44
82086.0,8.0,2.0,1.0,21.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,2.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,21.0,1.0,2.0,5.0,,22166.491882,23458.783777,2.0,109.0,3.0,3.0,0.86
82087.0,8.0,2.0,1.0,47.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,1.0,5.397605346934028e-79,2.0,44.0,1.0,4.0,1.0,3.0,121947.255605,129058.388823,1.0,115.0,9.0,9.0,2.82
82089.0,8.0,2.0,1.0,25.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,25.0,1.0,3.0,5.0,,28812.543072,31094.346024,1.0,116.0,2.0,2.0,0.61
82093.0,8.0,2.0,1.0,36.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,2.0,4.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,36.0,1.0,2.0,4.0,,18218.321637,18845.209289,1.0,112.0,3.0,3.0,0.77
82099.0,8.0,2.0,1.0,54.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,54.0,1.0,3.0,5.0,,33115.430924,34910.141813,1.0,105.0,2.0,2.0,0.78
82101.0,8.0,2.0,2.0,5.397605346934028e-79,4.0,3.0,3.0,2.0,5.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,2.0,33.0,1.0,5.0,1.0,4.0,15240.412881,14725.734642,2.0,107.0,9.0,9.0,3.03
82103.0,8.0,2.0,1.0,51.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,55.0,1.0,4.0,4.0,,25304.619666,25704.210909,1.0,110.0,13.0,77.0,
82104.0,8.0,2.0,1.0,17.0,,3.0,3.0,2.0,211.0,2.0,,1.0,1.0,,11.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,3.0,5.397605346934028e-79,1.0,46.0,1.0,4.0,1.0,4.0,48360.47247,49253.444509,1.0,104.0,15.0,15.0,4.64
82107.0,8.0,2.0,1.0,43.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,2.0,5.397605346934028e-79,1.0,43.0,1.0,3.0,1.0,3.0,91507.898383,96103.750883,1.0,109.0,9.0,9.0,2.55
82109.0,8.0,2.0,1.0,19.0,,3.0,3.0,2.0,235.0,2.0,,1.0,1.0,,13.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,19.0,1.0,3.0,,,33997.724063,36323.503942,1.0,113.0,5.0,2.0,0.7
82110.0,8.0,2.0,1.0,27.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,2.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,5.397605346934028e-79,2.0,26.0,1.0,2.0,6.0,,31174.074739,33010.396819,1.0,113.0,2.0,2.0,0.25
82111.0,8.0,2.0,1.0,25.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,2.0,25.0,1.0,5.0,1.0,5.0,107509.123719,112385.696994,2.0,107.0,15.0,15.0,5.0
